Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
10210,Jane Eyre,Charlotte Brontë,"Brontë, Charlotte",Michael Mason,"=""0142437204""","=""9780142437209""",0,4.16,Penguin,Paperback,532,2003,1847,,2023/09/27,to-read,to-read (#37),to-read,,,,0,0
1885,Pride and Prejudice,Jane Austen,"Austen, Jane",Anna Quindlen,"=""1441341706""","=""9781441341709""",0,4.29,Modern Library,Paperback,279,2023,1813,,2023/09/27,to-read,to-read (#36),to-read,,,,0,0
32927264,Ms Ice Sandwich,Mieko Kawakami,"Kawakami, Mieko",Louise Heal Kawai,"=""1782273301""","=""9781782273301""",0,3.76,Pushkin Press,Paperback,92,2017,2013,,2023/09/25,to-read,to-read (#35),to-read,,,,0,0
11275,The Wind-Up Bird Chronicle,Haruki Murakami,"Murakami, Haruki",Jay Rubin,"=""0965341984""","=""9780965341981""",3,4.14,Knopf,Paperback,607,1997,1994,2023/09/17,2023/05/26,,,read,"Blergh, what a weird book.<br/>I I could puke for every chapter I would love to",,,1,0
162332,The Sailor Who Fell from Grace with the Sea,Yukio Mishima,"Mishima, Yukio",John Nathan,"=""""","=""""",3,3.84,Vintage,Paperback,181,1994,1963,2023/08/24,2023/08/10,,,read,Abundantly filled with poetic words but the story was goofy ahh weird,,,1,0
54814676,Crying in H Mart,Michelle Zauner,"Zauner, Michelle",,"=""0525657746""","=""9780525657743""",0,4.23,Knopf,Hardcover,256,2021,2021,,2023/08/22,to-read,to-read (#34),to-read,,,,0,0
2507213,Reincarnation,Suzanne Weyn,"Weyn, Suzanne",,"=""0545013232""","=""9780545013239""",0,3.68,Scholastic Press,Hardcover,304,2008,2007,,2023/08/20,to-read,to-read (#33),to-read,,,,0,0
20870778,This Blinding Absence of Light,Tahar Ben Jelloun,"Jelloun, Tahar Ben",,"=""""","=""""",0,4.27,,Hardcover,195,,2001,,2023/08/08,to-read,to-read (#32),to-read,,,,0,0
38588764,Tokyo Express,Seichō Matsumoto,"Matsumoto, Seichō","Gala Maria Follaco, P.C. Blum","=""8845932443""","=""9788845932441""",4,3.68,Adelphi,Paperback,175,2018,1958,2023/08/05,2023/07/16,,,read,Akhirnya agak kureng ajeh,,,1,0
67791629,Birthday Stories (Haruki Murakami translated library) (2006) ISBN: 4124034946 [Japanese Import],Haruki Murakami,"Murakami, Haruki",,"=""4124034946""","=""9784124034943""",0,3.56,Chuo Koron new company,Paperback Shinsho,0,2006,2004,,2023/08/01,currently-reading,currently-reading (#2),currently-reading,,,,1,0
25952086,A Thousand Splendid Suns,Khaled Hosseini,"Hosseini, Khaled",,"=""""","=""""",0,4.45,,Unknown Binding,,,2007,,2023/08/01,to-read,to-read (#31),to-read,,,,0,0
61884842,The Deep Sky,Yume Kitasei,"Kitasei, Yume",,"=""1250875331""","=""9781250875334""",0,3.69,Flatiron Books,Hardcover,399,2023,2023,,2023/07/28,to-read,to-read (#30),to-read,,,,0,0
56755560,"The Cat Who Saved Books (The Cat Who..., #1)",Sōsuke Natsukawa,"Natsukawa, Sōsuke",Louise Heal Kawai,"=""0063095726""","=""9780063095724""",0,3.71,HarperVia,Hardcover,199,2021,2017,,2023/07/28,to-read,to-read (#28),to-read,,,,0,0
60741747,Timecode of a Face,Ruth Ozeki,"Ozeki, Ruth",,"=""1838855912""","=""9781838855918""",0,3.98,Canongate Books,Kindle Edition,138,2022,2015,,2023/07/28,to-read,to-read (#27),to-read,,,,0,0
56887117,"The Village of Eight Graves (Detective Kosuke Kindaichi, #3)",Seishi Yokomizo,"Yokomizo, Seishi",Bryan Karetnyk,"=""1782277455""","=""9781782277453""",0,3.82,Pushkin Vertigo,Paperback,349,2021,1950,,2023/07/28,to-read,to-read (#26),to-read,,,,0,0
1217148,All That Is Gone,Pramoedya Ananta Toer,"Toer, Pramoedya Ananta",,"=""0143034464""","=""9780143034469""",0,4.01,Penguin Books,Paperback,255,2005,1952,,2023/07/28,to-read,to-read (#25),to-read,,,,0,0
46205497,The Ten Loves of Mr. Nishino,Hiromi Kawakami,"Kawakami, Hiromi",Allison Markin Powell,"=""1846277027""","=""9781846277023""",0,3.44,Granta Books,Kindle Edition,170,2019,2003,,2023/07/06,to-read,to-read (#24),to-read,,,,0,0
135836,"Trainspotting (Mark Renton, #2)",Irvine Welsh,"Welsh, Irvine",,"=""0099465892""","=""9780099465898""",0,4.11,Vintage,Paperback,431,1994,1993,,2023/07/06,to-read,to-read (#23),to-read,,,,0,0
59892213,Dead-End Memories: Stories,Banana Yoshimoto,"Yoshimoto, Banana",Asa Yoneda,"=""1640093699""","=""9781640093690""",0,3.89,Counterpoint,Hardcover,240,2022,2003,,2023/06/24,to-read,to-read (#22),to-read,,,,0,0
67896,Tao Te Ching,Lao Tzu,"Tzu, Lao","Gia-Fu Feng, Jane English, Jacob Needleman, Toinette Lippe, Claudio Lamparelli","=""0679724346""","=""9780679724346""",0,4.29,Vintage,Paperback,107,1989,-350,,2023/06/18,to-read,to-read (#21),to-read,,,,0,0
765618,Paradise,Abdulrazak Gurnah,"Gurnah, Abdulrazak",,"=""""","=""""",0,3.60,The New Press,Paperback,256,1995,1994,,2023/06/16,to-read,to-read (#20),to-read,,,,0,0
28921,The Remains of the Day,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""""","=""""",5,4.14,Faber & Faber,Paperback,258,2005,1989,2023/06/07,2023/05/30,,,read,"Such a calming novel written with nostalgic theme embedded on it. It feels as if i was to be at Darlington Hall, that's how this book seemed like to me. One could not simply define someone's profession (butler, for example) only with words, because there would not seem to be enough words to tell it all, you just had to be there and feel it",true,,1,0
21564158,The Essential Kafka: The Castle; The Trial; Metamorphosis and Other Stories,Franz Kafka,"Kafka, Franz","Keith Carabine, John R.     Williams","=""""","=""""",0,4.11,Wordsworth Editions,Paperback,640,2014,2011,,2023/06/04,to-read,to-read (#19),to-read,,,,0,0
1934,"Little Women (Little Women, #1)",Louisa May Alcott,"Alcott, Louisa May","Regina Barreca, Grzegorz Komerski, Marta Fihel","=""""","=""""",0,4.17,Signet Classics,Mass Market Paperback,449,2004,1868,,2023/06/01,to-read,to-read (#18),to-read,,,,0,0
80571,American Prometheus: The Triumph and Tragedy of J. Robert Oppenheimer,Kai Bird,"Bird, Kai",Martin J. Sherwin,"=""""","=""""",0,4.31,Vintage Books,Paperback,721,2007,2005,,2023/06/01,to-read,to-read (#17),to-read,,,,0,0
11989,The Plague,Albert Camus,"Camus, Albert",Stuart Gilbert,"=""""","=""""",0,4.02,Vintage International,Paperback,308,1991,1947,,2023/06/01,to-read,to-read (#16),to-read,,,,0,0
13623848,The Song of Achilles,Madeline Miller,"Miller, Madeline",,"=""""","=""""",0,4.30,Ecco,Paperback,408,2012,2011,,2023/05/31,to-read,to-read (#15),to-read,,,,0,0
762476,Kokoro,Natsume Sōseki,"Sōseki, Natsume",Edwin McClellan,"=""0809260956""","=""9780895267153""",0,4.04,Gateway Editions,Paperback,256,1996,1914,,2023/05/31,to-read,to-read (#14),to-read,,,,0,0
26244,A Confession,Leo Tolstoy,"Tolstoy, Leo","Leo Tolstoy, Bogdan Baran","=""1598184717""","=""9781598184716""",0,4.10,Aegypan,Paperback,108,2006,1880,,2023/05/31,to-read,to-read (#13),to-read,,,,0,0
18386,The Death of Ivan Ilych,Leo Tolstoy,"Tolstoy, Leo","Aylmer Maude, Louise Maude","=""""","=""""",0,4.14,Waking Lion Press,Paperback,86,2006,1886,,2023/05/31,to-read,to-read (#12),to-read,,,,0,0
24874322,The Life of a Stupid Man,Ryūnosuke Akutagawa,"Akutagawa, Ryūnosuke",Jay Rubin,"=""0141397721""","=""9780141397726""",0,3.67,Penguin Classics,Paperback,55,2015,1927,,2023/05/29,to-read,to-read (#11),to-read,,,,0,0
35206,Rashōmon and Seventeen Other Stories,Ryūnosuke Akutagawa,"Akutagawa, Ryūnosuke","Jay Rubin, Haruki Murakami, Yoshihiro Tatsumi","=""0143039849""","=""9780143039846""",0,4.14,Penguin Classics,Paperback,268,2006,1927,,2023/05/29,to-read,to-read (#10),to-read,,,,0,0
320,One Hundred Years of Solitude,Gabriel García Márquez,"Márquez, Gabriel García",Gregory Rabassa,"=""""","=""""",0,4.12,Harper,Mass Market Paperback,417,2003,1967,,2023/05/29,to-read,to-read (#9),to-read,,,,0,0
5297,The Picture of Dorian Gray,Oscar Wilde,"Wilde, Oscar",Jeffrey Eugenides,"=""""","=""""",0,4.13,Random House: Modern Library,Paperback,272,2004,1890,,2023/05/29,to-read,to-read (#8),to-read,,,,0,0
61439040,1984,George Orwell,"Orwell, George",Thomas Pynchon,"=""0452284236""","=""9780452284234""",0,4.20,Plume,Paperback,368,2022,1949,,2023/05/29,to-read,to-read (#7),to-read,,,,0,0
656,War and Peace,Leo Tolstoy,"Tolstoy, Leo","Aylmer Maude, Louise Maude","=""0192833987""","=""9780192833983""",0,4.17,Oxford University Press,Paperback,1392,1998,1869,,2023/05/29,to-read,to-read (#6),to-read,,,,0,0
4934,The Brothers Karamazov,Fyodor Dostoevsky,"Dostoevsky, Fyodor","Richard Pevear, Larissa Volokhonsky","=""0374528373""","=""9780374528379""",0,4.39,"Farrar, Straus and Giroux",Paperback,796,2002,1880,,2023/05/29,to-read,to-read (#5),to-read,,,,0,0
7144,Crime and Punishment,Fyodor Dostoevsky,"Dostoevsky, Fyodor","David McDuff, Joseph Frank","=""""","=""""",0,4.29,Penguin,Paperback,671,2002,1866,,2023/05/29,to-read,to-read (#4),to-read,,,,0,0
2657,To Kill a Mockingbird,Harper Lee,"Lee, Harper",,"=""0060935464""","=""9780060935467""",0,4.26,Harper Perennial Modern Classics ,Paperback,323,2006,1960,,2023/05/26,to-read,to-read (#3),to-read,,,,0,0
5107,The Catcher in the Rye,J.D. Salinger,"Salinger, J.D.",,"=""0316769177""","=""9780316769174""",0,3.80,Back Bay Books,Paperback,277,2001,1951,,2023/05/26,to-read,to-read (#2),to-read,,,,0,0
9303025,"Naoki Urasawa's Monster, Volume 9 (Naoki Urasawa's Monster: Kanzenban, #9)",Naoki Urasawa,"Urasawa, Naoki",,"=""8467491817""","=""9788467491814""",5,4.70,Planeta DeAgostini,Paperback,472,2010,2008,2023/05/24,2023/05/24,manga,manga (#2),read,Saya suka sekali manga ini apalagi di salah satu panel. Panel yang menyertakan dua entitas bernama Johan dan Anna.,,,1,0
22822858,A Little Life,Hanya Yanagihara,"Yanagihara, Hanya",,"=""0385539258""","=""9780385539258""",0,4.28,Doubleday,Hardcover,720,2015,2015,,2023/05/24,currently-reading,currently-reading (#1),currently-reading,,,,1,0
10309548,Al-Quranu'l-Karim - Bacaan Mulia,H.B. Jassin,"Jassin, H.B.",,"=""""","=""""",0,4.25,Penerbit Djambatan,Paperback,904,1977,1977,,2020/08/05,to-read,to-read (#1),to-read,,,,0,0
